Tweet,Label
"kelompok lesbian, gay, biseksual, transgender ini patutlah. liberal bodoh tahi.",Anger
iya televisi nasional ini memang suka memancing emosi penonton.,Anger
sekarang ini aku baru bangun tidur sudah bikin emosi saja.,Anger
mau marah sekali kenapa orang-orang jahat sekali sih.,Anger
kadang suka emosi baca beginian tapi orang bodoh memang susah kalau diajak ngobrol.,Anger
si orang kaya mancing emosi sih pagi-pagi.,Anger
sudah aku baca panjang-panjang kirain analisanya bakal meledak. ternyata hanya hasil pikiran otak pendek. bodoh.,Anger
emosi bung.,Anger
pemain paling bernilai pun marah tidak mencapai target kinerja kah?,Anger
opini kamu jelek bro. menutup keburukan dengan agama kamu benarkan? poligami untuk menghindari zina? bodoh! banyak berbicara tentang agama ya begini.,Anger
kapan ya manajemen di rumah sakit diubah biar tidak saling lempar seperti ini. orang ke rumah sakit itu butuh penanganan cepat bukan bolak-balik ribet. emosi kan aku anjir.,Anger
dari turunkan ayam dua sen lebih baik buat polisi memajukan industri sumber makanan negara. kita negara tropis kok harap makanan ternak impor? bodoh sekali orang malaysia sampai dedak ayam pun tidak bisa buat sendiri.,Anger
unesco orang arab haha kata yang benci anies.,Anger
"satu kata jangan memilih, sebab semua bodoh.",Anger
diam adalah jawaban terbaik untuk menghadapi orang bodoh.,Anger
"sangat bodoh bahan bakar minyak langka, beras mahal. cuma sarapan jagung dan ubi sebelum berangkat sekolah itu sekitar dua ribu enam sampai dua ribu sebelas.",Anger
bangsat ini akun saya diretas kah?,Anger
"lah kakakku yang umur tiga puluh tiga harus memanggil aku yang umur dua puluh tiga apa anjir kalau bukan adik? oh saya anak tunggal, ada anak perempuan satu lagi punya ayah ibu saya? begitu? bodoh ih.",Anger
ini betul-betul punya marah.,Anger
"ternyata ada yang lebih bodoh dari aku, jauh malah.",Anger
harusnya dihukum mati itu bangsat. rusak nama sumatera utara karena dia.,Anger
hmm siapa lagi yang harus aku benci.,Anger
ya tuhan aku tidak kuat sekali bangsat.,Anger
sumpah aku emosi sekali.,Anger
yang dinamakan orang bodoh.,Anger
ini faisal basri tidak lagi kena stroke kan? atau tiba-tiba gangguan mental? ciri khas joko widodo? ketukar sama susilo bambang yudhoyono pak faisal. jangan bangsat.,Anger
dipta kamu jangan bodoh bisa tidak?,Anger
"iya anjir, jangan-jangan dia punya dendam sama aku ya.",Anger
"apa bedanya coba awal chat huruf kapital atau tidak? sahabat, kamu kok bodoh.",Anger
"bangsat, memang kamu sudah?",Anger
saya bisa memasak. saya ini sudah ada bekal untuk main benda tajam dan minyak panas. jadi tolong hargai saya dan jangan bikin saya marah.,Anger
bodoh ya begitu diba astaga.,Anger
"aku baik tapi aku tidak bodoh. semoga orang tua aku sehat terus dan lancar rezeki, biar tidak usah aku mengandalkan saudara seperti anjing.",Anger
bangsat.,Anger
"eh, kamu tidak pernah merancang kejatuhan orang yang kamu benci dengan perempuan lain kah?",Anger
"hah, bodoh sekali kamu pantat.",Anger
emosi melulu nanti jadi buruk loh.,Anger
"ya kan tidak merasa capek, cuma larinya jadi lambat banget. emosi aku.",Anger
penggemar sebelah kalau tidak suka sama noren tidak usah mampir. sudah tahu benci sama noren malah baca alternate universe-nya. lucu banget kamu.,Anger
tidak sempat lah ini mau balas dendam minggu depan. mesti sakit sudah hilang waktu itu.,Anger
"islamofobia atau buzzer pemerintah, yaitu: satu, para anjing sekularis liberalis dan komunis, pelaku maksiat yang ingin mencari pembenaran atas kelakuannya. dua, para babi kafir, pecundang debat teologis secara akademis yang ingin melampiaskan dendam kekalahannya.",Anger
"iya juwi, emosi nih aku pagi-pagi.",Anger
aku benci kata jenuh.,Anger
aku benci sekolah.,Anger
omongan kosong pendukung garis keras memang bangsat.,Anger
bangsat masih berani main media sosial.,Anger
ajarkan kepada anak lelaki; tolong opininya jangan kelewat bodoh.,Anger
"kamu menyindir aku sama antek-anteknya berharap aku marah. tenang, aku punya jurus jitu, aku balas pakai selawat. zalim, kesel sendiri kan, hahaha.",Anger
"tidak usah kaget kalau tiba-tiba aku jadi benci sama saudara aku. dasar orang tidak tahu diri, parasit, kacang lupa kulit, bajingan sama saudara sendiri.",Anger
hahaha bangsat.,Anger
"itu kamu saja, tahu definisi adik tidak sih kamu? ilah bikin emosi.",Anger
"menonton sis, masih on going. emosi melulu ya, sekarang nonton sudah lah ikuti saja.",Anger
"kenapa agama yang lurus dari tuhan yang maha esa bisa menjadi bengkok hingga bermacam-macam? sebabnya karena ada orang-orang bodoh dan sesat seperti itu. sudah banyak dari zaman dulu, namun motifnya tetap sama, yaitu untuk kepentingan perut dan sekitarnya.",Anger
"dapat mimpi malah mendukung ketakutan, bangun-bangun bangsat banget, bete. au ah, mending tidak usah tidur apa ya.",Anger
"hah, belajar teknisi kelistrikan a1, sekali kerja ambil bekas dari pabrik jadi buruh, dengan atasan yang kadang baik kadang tidak baik. mau ikut kata dia seperti kerja tidak pernah siap. brengsek. semua kerja siap tapi bodoh tetap mau marah juga. bajingan.",Anger
"woi bodoh, kalau semua mengeluh, beropini, berargumen, berpendapat tentang kebijakan pemerintah, buat apa pemilihan legislatif dilakukan? goblok dipelihara. kamu lakukan itu malah membuat anggota legislatif terhormat itu makan gaji buta. bodoh. pendapatan anggota dewan itu sepuluh kali gaji upah minimum regional tiap bulan.",Anger
terserah dan masa bodoh jika kamu tidak suka atau bahkan membenci aku. rasa kesalku belum juga hilang.,Anger
jangan sampai rakyat benci.,Anger
"aku kira di menfess sebelumnya kamu mau bercanda, ternyata bodoh beneran, haha. kamu tidak tahu definisi adik atau bagaimana? semua orang menyebut saudara kandung yang lebih muda itu adik. tidak usah menyuruh orang untuk mengaku. kamu saja yang berpikir begitu bodoh. tidak jelas kamu.",Anger
marah sekali aku.,Anger
"auto berbelit apa? memang dia orang marah bila ditipu oleh pemerintah india. indira gandhi gunakan hal ini sebagai peluang untuk politikus dia, itu yang menyebabkan ltte membunuh indira gandhi. kamu pergi baca sejarah kenapa ltte itu diwujudkan. tidak sama langsung seperti taliban.",Anger
anjing pagi-pagi dibuat emosi.,Anger
bersabar dengan emosi yang ada di dalam diri ini.,Anger
"benci tasik, benci jakarta.",Anger
sepertinya kakek masih dendam.,Anger
aduh bangsat ganteng sekali lagi orang ini.,Anger
"paling benci kalau lagi diam terus panik sendiri, tidak tahu bingung kenapa.",Anger
"kalau cerita ke suami aku tentang mimpi malam tadi, pasti kena marah.",Anger
"bangsat nanti pasti menangis haha pengecut, nada bodoh, mati saja kamu.",Anger
"bodoh punya pernyataan. lebih baik pergi minum alkohol, berzina, main judi, baru betul menegangkan.",Anger
"mengaku saja lah bodoh, ngajak-ngajak tidak jelas yang menganggap adik cuma anak kecil. kamu saja yang berpikir begitu.",Anger
gagal lembut malah emosi.,Anger
kamu jangan bikin aku marah.,Anger
jarina hasebe hobi mengomel dan marah-marah.,Anger
"capek lagi puasa, ada saja yang bikin marah.",Anger
anjinglah brengsek bangsat.,Anger
emosi ya.,Anger
tahulah mau meluapkan ke siapa. terasa bodoh sekali.,Anger
"benci juga karakternya cheol. seperti itu sudah kelihatan han sakit hati, kenapa harus ditegaskan dulu baru peka? tidak mempermasalahkan perasaannya terhadap nu, tapi cara dia memperlakukan han yang aku benci. dipermainkan sekali haha, brengsek.",Anger
"poin satu dua oke lah, poin selanjutnya itu lho, aku laki-laki saja marah membacanya.",Anger
kenapa kamu yang emosi?,Anger
"ya kalau mau poligami ikuti sunah rasul, tunggu istri pertama meninggal dulu dan kamu menikah dengan nenek-nenek yang sudah tua dan miskin untuk diurus, bukan mau enaknya saja bodoh.",Anger
"betul orang bilang, kalau tidak bodoh bukan barisan nasional namanya.",Anger
kalau hari buruk sekalipun tidak ada hak untuk emosi ke orang lain. tidak profesional!,Anger
pagi-pagi bangun sudah berantakan. bodoh.,Anger
"percaya tapi benci aku kalau suka diam saja tidak langsung bicara. aku tidak menggigit kok, dan kamu laki-laki yang gentle dong, masa kalah sama gentlewoman.",Anger
"akhirnya bangun siang, tapi si bodoh ini tidak salat subuh.",Anger
"aku pura-pura tidak tahu saja kebohonganmu yang sangat jelas. entahlah, aku pura-pura bodoh saja, nanti juga akan ketahuan sendiri. biar waktu yang menunjukkan.",Anger
"tetap saja namanya selingkuh, kok ya bodoh sekali. kebanyakan alasan.",Anger
"nah ini yang aku kesal, aku sih biasa saja lihat si bright sama itu. soalnya seperti saudara betul, tapi yang aku benci kalau begitu malah suka bertindak seenaknya. anjir, penggemarnya malah menjelekkan iwin lagi. pasti sudah merasa real betul padahal cuma fanservice.",Anger
aku dendam sama dua orang itu.,Anger
"nafsu sama perempuan lain? puasa. tahan diri. jaga pandangan. bukan poligami, bangsat. kamu miskin tapi bergaya poligami, itu bagaimana ceritanya? nanti istri jelek tidak terurus karena kamu tidak kasih uang, langsung ditinggalin. heran aku kenapa laki-laki punya otak tidak dipakai.",Anger
"dulu waktu sekolah menengah pertama saya jengkel sekali sama ibu saya, mau pergi naik bus dari jombang ke bojonegoro pakai dianterin ke terminal bus. padahal pinginnya naik angkot saja.",Anger
"eh bukan jadi sasaran makian atau kena marah, tapi peduli karena tidak berbicara. tiba-tiba.",Anger
"tolong jangan benci fany, fany baik-baik kok tidak makan orang.",Anger
"tidak boleh marah, nanti cepat tua.",Anger
"si gwinam? kayaknya dia punya keinginan hidup yang tinggi, kan ada dendam sama chongsan.",Anger
permulaan yang bangsat untuk februari dua ribu dua puluh dua.,Anger
"baca komentarnya sungguh menguras emosi, anjing.",Anger
lagian kemarin siapa sih yang memilih gubernur ini? orang bodoh seperti ini.,Anger
"kata mama harus baik sama orang lain, tapi kalau orang itu bertindak seenaknya ya sudah diamkan saja. tapi aku orangnya tidak tega, jadi ya begitu, jatuhnya malah bodoh membantu orang yang tidak bisa usaha sendiri.",Anger
"bahkan ada tweet yang maksudnya mendukung, parahnya itu tidak dibarengi dengan bertanya baik-baik atau berdiskusi, tapi langsung marah-marah. benar-benar jadi ruang kemarahan saja.",Anger
"iya itu benci sekali, makin hari ada saja peraturan tidak jelas seperti ini, huhu.",Anger
janganlah marah dia. lesen l pun dia belum ada lagi itu.,Anger
"ibu yang darah tinggi, andin marah-marah. kenapa ibu marah-marah? lanjutkan, ibu.",Anger
"bodoh, namanya adik tidak harus anak kecil. adik itu yang lahir setelah kakak, mau kecil atau besar tidak ada urusan. dungu.",Anger
bangsat benar karena pelakunya adalah guru yang seharusnya mengayomi.,Anger
mereka ini semua sudah lama mau ngobrol dengan kamu. tidak seru katanya kalau tidak dengar kamu buat lelucon bodoh satu hari. itu dulu lah. haha. kami dengar kamu sedang menjalankan satu proyek besar. semua berbicara tentang kamu jo. tidak ada lah. belum ada apa-apa lagi.,Anger
hati-hati bodoh beneran.,Anger
"ya marah-marah terus, cepat tua mampus.",Anger
bodoh. mana ada yang mau kalah. memang bodoh anjing.,Anger
"kalau aku berbicara sepatah, kamu tersinggung. lebih baik aku diam. lalu kamu marah pula aku diam? tidak paham.",Anger
aku benci kamu.,Anger
contoh orang bodoh bin dungu.,Anger
"selama perintah suami tidak melanggar syariat, hormat tapi tidak bodoh. makanya islam untuk orang yang mau berpikir.",Anger
"ahaha khas buzzer pemerintah menuduh orang mau, dituduh marah.",Anger
"lah bodoh, itu all of us are dead kali gwinam.",Anger
aku macan marah?,Anger
bangsat sekali.,Anger
"padahal aku tinggal di lokasi juga dianggurin. buat apa kamu merekrut orang luar kalau begini ceritanya? bodoh. jadi tidak ingin aku duitnya mereka, tidak jelas sekali. bikin stres saja. padahal tinggal beresin saja sih, proyek juga sudah selesai, malah dibikin pusing.",Anger
tolong leon jangan sampai terbawa emosi ya.,Anger
benci sekali aku sama orang ini.,Anger
makanya pada belajar agama yang benar biar tidak bodoh.,Anger
ledik anjing setan tolol babi monyet.,Anger
"supaya generasi sekarang jadi bodoh, kan mudah dibodohi.",Anger
ateis punya rasa benci? kirain umat beragama saja. lalu apa bedanya?,Anger
terus hubungannya apa bangsat!,Anger
"bangsat, mengagetkan saja.",Anger
emosi melulu seperti ahok.,Anger
"entah lah orang penuh dengan emosi episode terakhir, waktu itu juga dia mau memaksakan orang.",Anger
aku benci hari sabtu.,Anger
"tidak tahu, aku benci sekali.",Anger
"suka nih yang bikin emosi begini, jadi tag aku dong kack.",Anger
aneh sekali bodoh kamu.,Anger
"jujur terkejut di bagian bangsatnya sih, biasanya kayaknya drake saja tidak sampai bangsat.",Anger
"ustazah marah sebab tidak ada orang masuk kelas pendidikan agama islam, setelah itu rupanya dia yang salah masuk tautan.",Anger
buat dan kalau mau menyerang pemerintah itu janjian dulu gitu. kelihatan bodohnya kalau begini.,Anger
aku bukan paling mulia tapi aku manusia normal yang jijik melihat kaum homoseksual. lagipula di agama dilarang bodoh. masih saja kamu ngeyel. kalau kamu masih belum benar jangan begitu kata-katamu. seperti kamu sudah benar saja homoseksual.,Anger
ya allah marah sekali melihat video ini.,Anger
semangat walaupun dalam hati berkata bangsat.,Anger
"sebab itu kalau orang-orang seperti ini mau jalan aku buat tidak tahu saja, santai saja jalan. kamu tidak ada hak menghalangi jalan orang, kecuali ambulans. bodoh.",Anger
aneh tidak sih? padahal dia lebih sering keluar berdua diam-diam tidak mengajak aku tapi aku tidak marah sama sekali. kenapa giliran aku minta tolong ditemani beli sesuatu malah dia marah. anjing. padahal kalau dipikir-pikir skornya juga dua banding nol koma lima.,Anger
hiyahiyahiya. terpesona pada pandangan pertama dan tidak kuasa menahan emosi.,Anger
"dipakai untuk acara pernikahan itu bodoh. kunjungi tempatnya, jangan cuma main jempol saja. kere tidak punya ongkos, aku bayarin dah, aku memang begitu orangnya.",Anger
padahal yang suka marah-marah itu kamu.,Anger
bukan penggemar manchester united namanya kalau tidak ikut-ikutan bodoh.,Anger
maaf pagi-pagi malah marah-marah.,Anger
"asli bodoh sekali aku, ya ampun.",Anger
kamu yang bodoh anjing.,Anger
marah melulu rasanya.,Anger
bodoh sekali tidak cek orang yang kecelakaan itu dulu.,Anger
"entah bodoh beneran atau pura-pura bodoh yang masih butuh informasi tentang saya, padahal semua akun sosial saya terbuka untuk umum.",Anger
"makanya anjing aku emosi, kesel sekali menontonnya.",Anger
"benar, tapi juga bikin kesal lama-lama lihat wajahnya.",Anger
main pakai first eleven pun kalah. tidak dengan klub bodoh. apa malapetaka lah manchester united ini.,Anger
bodoh sekali tidak sih.,Anger
pagi-pagi kok sudah emosi.,Anger
"ya bagaimana ya bangsat, ya begitu saja.",Anger
"tidak jadi deh, aku mau kak mark saja biar kamu emosi.",Anger
jangan biarkan satu hal bodoh menghancurkan kebahagiaanmu seharian.,Anger
"lah kenapa jadi bawa susilo bambang yudhoyono? bro, pada hakikatnya sah-sah saja ada orang memuji maupun membenci asal alasannya konkret dan tidak munafik. ngomong apa kasih gambar apa, jaka sembung bawa kembang tidak nyambung sayang.",Anger
"aku punya facebook, coba buka badan eksekutif mahasiswa, ternyata sama saja banyak virus administrasi. wabahnya menyebar. ini manusia bodoh perlu banyak pendidikan, sampai urat malu putus, kurang pendidikan.",Anger
"orang bodoh jadi ustaz, pengikutnya jadi bodoh semua.",Anger
"khai kamu bodoh sekali tolol brengsek dungu goblok, kesal sekali aku.",Anger
terbawa emosi.,Anger
"dari awal tidak suka karakter nu, kenapa dia bisa seserakah itu? dan bodoh sekali segitu butanya. ini alasan aku menyebutnya brengsek.",Anger
manchester united bodoh.,Anger
"rasa seperti terlalu bodoh untuk hukum ini. mau ambil jurusan lain saja. bodoh, kerja grab saja lah.",Anger
emosi sekali kalau ada yang bilang cantik harus putih. makan kotoran!,Anger
"anjing, mimpi iparku ternyata jelmaan siluman babi. tapi kalau dipikir-pikir ada korelasinya dengan sikap, sifat, dan tingkah lakunya yang tidak layak disebut manusia. baru kali ini aku bisa benci sekali sama manusia.",Anger
"sudah bodoh sudah, santai nanti sakit sendiri.",Anger
"kamu yang menganggap poligami adalah solusi dari perzinaan. oh iya, dan tidak semua laki-laki mau poligami juga. poligami tidak gampang. banyak orang benci poligami karena manusia-manusia seperti kamu. ingat ya, tanggung jawab poligami itu berat.",Anger
pickaw punya dendam sepertinya.,Anger
ayah: melarang anak dan istri menunjukkan rasa jengkel.,Anger
"juga ayah: kalau jengkel nada bicara ketus, membanting pintu, meletakkan barang dengan kasar.",Anger
"si bodoh, minta gaji bulanan tidak menghitung dulu kalau diakumulasi tahunan ternyata sama saja. saat disetujui malah bingung kelabakan.",Anger
mungkin dia pengikut pimpinan pesantren yang cabul itu makanya bisa bikin opini sebodoh itu.,Anger
"bapak pengkhianat negara bertengkar dengan bapak penyeleweng negara, sudah menikam belakang pakatan harapan, mau jadi polisi baik pula. lawak bodoh!",Anger
"diselingkuhi, mereka belum sampai pacaran sih, tapi main belakang saja. diam-diam begitu tapi tidak mulus, bodoh sekali mereka pendekatannya jadi ketahuan cepat.",Anger
"anjing, kesal sekali sama yang suka mencuri. semangat. semoga lancar jadi bisa diambil si pencuri. mana judulnya dari yang keren jadi cuma bridge, tree, fragment.",Anger
"sabar, sabar, tidak boleh marah.",Anger
"mestinya yang benci pemerintah diobati sampai sembuh, tidak hanya covidnya yang sembuh tapi sakit hatinya juga sembuh.",Anger
"satu, jangan main klarinet. dua, jangan pernah melambaikan lampu senter ke depan dan ke belakang terlalu cepat, itu dianggap undangan. tiga, jangan pernah berhenti menatap sekitar. empat, jangan makan keju kecuali yang kotak. lima, jangan pakai topi sombrero. enam, jangan pakai baju bodoh.",Anger
bangsat sudah ini.,Anger
"yang nomor tiga, izinkan suami berpoligami untuk mencegah perzinaan? aduh goblok sekali jadi orang. jadi selama ini pernikahan itu zina begitu? dan poligami itu bagus dan dianjurkan di agama begitu? halo, di agama tidak ada satu kontol harus dua lubang. bajingan bangsat kamu.",Anger
"sudah emosi juga dari tadi, haha.",Anger
"sayang, bagaimana cara memainkan perasaan cowok dan nantinya si cowok menyesal sudah meninggalkan ceweknya? kata temanku begitu, biar cowoknya merasa meninggalkan si cewek adalah pilihan bodoh.",Anger
"kalau naksir ada si nder, tapi setiap mau didekati aku selalu kasih lampu merah, jadi pada mundur sendiri-sendiri. aku disuruh sekolah dulu sama orang tua. aku benci penolakan, maka dari itu aku kasih lampu merah saja daripada pas ditembak aku tolak. aku takut mereka sakit hati.",Anger
"tai aku benci twitter, suka ke-refresh sendiri bangsat. padahal tadi ada tweet lucu jadi tidak kebaca.",Anger
konyol bodoh.,Anger
boleh benci tapi jangan bodoh.,Anger
"salah sendiri baperan, bodoh!",Anger
sudah hari keenam masih saja kena marah soal panadol.,Anger
bangsat benar juga.,Anger
pengen kelihatan pintar tapi bodoh.,Anger
"bodoh sekali nilo, menjilat kotoran sendiri. aku takut sekali membayangkan omar marah.",Anger
cinta manchester united bodoh sumpah.,Anger
nah ini satu lagi pendukung pemerintah bodoh muncul.,Anger
kalau mau disuruh mati berarti kamu bodoh.,Anger
oh pantas orang mengakui bodoh juga. panjang umur dualisme.,Anger
"mereka ini tidak pernah lihat orang kulit hitam apa ya, rasis sekali bangsat.",Anger
"aku benci saat setiap aku mulai suka sama orang, kenapa orang itu malah menghindar.",Anger
"biarin, marah sekali aku kali ini.",Anger
"pagi-pagi tiba-tiba baca banyak berita di timeline pendukung pemerintah ngamuk-ngamuk dan cari banyak alasan tentang dewanya tidak dihargai luhut saat pidato. pendukung pemerintah menghibur diri pura-pura bahagia. pendukung pemerintah bodoh idiot, kalian itu permanen. mentang-mentang gratis kalian ambil semua bodohnya. idiot.",Anger
"lagunya sakusa habis diputusin atsumu, habis itu memutar lagu, ""ya kali anjing aku bisa benci kamu. ya kali anjing aku cari yang baru. aku maunya kamu, tidak yang baru, tidak dengan benci kamu.""",Anger
"soalnya dari kecil sudah dicekoki kalau yang cantik itu yang kulitnya putih, alias bodoh.",Anger
"kesal sekali anjing, pagi-pagi sudah ribet kamu bangsat.",Anger
bodoh.,Anger
"jengkel sekali sama call center buru-buru sekali menutup pembicaraan, padahal masalah belum selesai. parah! oh iya kan sicepat namanya.",Anger
"kegaduhan yang ditimbulkan dan efek demo sampai sekarang tidak hilang-hilang. meski akhirnya mereka marah karena kecewa, ternyata yang didukung malah semua jadi menteri.",Anger
janji dapat dedak bodoh pun tetap bodoh.,Anger
"ini yang kelima anjing, sial terus dalam seminggu bangsat. besok apa lagi ini, tai.",Anger
"sudah banyak masyarakat yang tahu gerak-gerik pembohong penjual dalil si bangsat provokator, pemecah belah anak bangsa. memang polisi harus segera menjebloskan ke penjara bajingan ini.",Anger
"minta mau makan macam-macam, minta ke suami kamu. minta orang lain suruh beli pula. bodoh.",Anger
bodoh lah tidak ada penerbangan terdekat.,Anger
"masih pagi, tahan jangan emosi.",Anger
bisa-bisanya mark tidak menghubungi aku. marah.,Anger
"manchester united yang kalah, kok aku yang emosi ya?",Anger
"aku yakin mereka bakal menjenguk sih, tapi kita tidak tahu mereka mau berbagi atau tidak. yang penting jm tidak sendirian lagi. ahh covid bangsat. minta maaf, kamu bikin mimi sakit dan sendirian.",Anger
hukum bangsat hanya untuk bangsat!,Anger
"lagi ramai soal suami boleh memukul istri ya. kalau pukul bercanda tidak membuat lebam aku sih biasa saja. tapi aku tipe orang yang tidak suka disakiti, jadi kalau aku dipukul aku pukul balik. soalnya selama hidup aku tidak pernah dipukul, marah saja jarang karena aku anak satu-satunya.",Anger
"bodoh sekali, checkout maybelline lupa pilih hadiah.",Anger
"tidak mau es krim, mau balas dendam sama om jev. anjing, maaf kak, emosi jiwa. tidak apa, lanjutkan, om jevan setan.",Anger
"di satu sisi, kalaupun memang proses kemarin aku gagal, aku tidak apa-apa banget minum obat lagi. yang penting selesai. tolong banget. aku sudah benci sekali di situasi di mana aku hanya memendam rasa sakit sendiri dan susah ke mana-mana. benci sekali.",Anger
"dari lima belas pertandingan kompetitif, yang menang cuma empat. bodoh, mending uninstall lagi saja sudah, memang tidak berbakat.",Anger
aku masih jengkel ya sama teman-teman sekelompok aku.,Anger
"slogan itu sudah bisa dibuang, ganti dengan ""semua polisi adalah bangsat"".",Anger
faker bodoh ya.,Anger
"setelah kucing aku disteril selama tiga belas hari dan dikurung di rumah, hari ini kabur lagi main ke rumah tetangga sinting. langsung aku kejar, berharap tidak ketemu dia. eh malah ketemu, bangsat benar.",Anger
"baru juga reda emosinya, sudah emosi lagi.",Anger
"maaf bro, aku paling benci kalau ada yang bilang dia lebih capek dari aku.",Anger
masih pagi sudah marah-marah saja.,Anger
"ambisius tidak jelas, malas aku. merasa bodoh tidak bisa menyeimbangkan, kesannya jelek terus aku padahal rata-rata sudah oke.",Anger
"jangan buat aku bongkar kamu di dunia nyata ya anjir. aku sudah sabar, sudah hapus tweet, sudah ganti username, tapi kamu kayaknya memang cari ribut sama aku, cewek bangsat.",Anger
tahu apa yang buat aku marah? lagi baca alternate universe tiba-tiba keluar sendiri.,Anger
"bodoh sekali, kenapa memaksa ya.",Anger
"maaf ya sayang! menanyakan hal bodoh, haha.",Anger
"parah, bangsat sekali ya. planga-plongo bodoh, beleng-beleng bangsat yang cari makan dari menghisap darah dan nyawa orang.",Anger
"genius kang taehyun, selamat ulang tahun anak laki-laki. sehat terus, jangan sakit. kalau sakit aku marah. kangen tyunn sulap, juga ingin tyunn ada konten memasak dan upload di youtube.",Anger
kenapa sih aku malah download valorant lagi? bodoh.,Anger
ini semua karena rakyat bodoh! pergi pilih lagi orang yang menyusahkan rakyat. buat apa? asal melayu dan islam itu betul? bodoh.,Anger
jujur aku malu jadi orang indonesia. kok bisa tinggal satu negara dengan orang-orang bodoh seperti ini semua.,Anger
awan kamu dendam sama aku ngomong wan?,Anger
lagi kesal gara-gara kelompok.,Anger
"bilangnya realistis butuh uang, sebenarnya lebih ke, ""oke, aku cari yang banyak duit."" itu sih materialistis. ingat, segalanya butuh uang tapi uang bukan segalanya. agak emosi memang kalau sok realistis tapi ternyata materialistis.",Anger
aku benci sama kamu!,Anger
kenapa pagi-pagi sudah ada yang bikin emosi.,Anger
hahaha bodoh.,Anger
karena saya egois dan bodoh.,Anger
"setan berambut keriting ini modelnya kayak si murtad saefudin ibrahim yang sekarang pendeta, yang selalu mendiskreditkan islam. si setan keriting kalau mau murtad, murtad saja sekalian. jadi umat islam tidak usah bikin masalah dan menyebar fitnah. kalau pemahaman agamanya benar tidak akan begini narasi si bangsat ini.",Anger
masih pagi aku sudah emosi.,Anger
ternyata aku diblokir sama cowok di instagram gara-gara dia minta foto aneh-aneh dan aku tolak. lagian minta foto aneh-aneh mulu. dikira aku bodoh apa.,Anger
anak cucu para bangsat bangsa?,Anger
hal yang paling aku benci dari sebuah proses adalah menunggu. dan lebih menyakitkan adalah menunggu hasil saat badan masih belum membaik. capek sekali tiap hari harus bergantung pada ibuprofen dan obat lainnya biar rasa sakitnya berkurang.,Anger
menghindari perzinaan kok poligami sih. bodoh sekali. goblok. makanya tititnya jangan gatal lihat perempuan tetangga.,Anger
marah.,Anger
"emosi aku, anjing.",Anger
"malah terkirim yang ini, jancuk bau-bau bakal marah.",Anger
terlalu cuek dan capek bertengkar terus. tiap aku komplain karena dia terlalu sibuk dan cuek malah dia yang marah. like what??,Anger
marah melulu.,Anger
